                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.7974,                 2.2449,                 1.3842,                0.41398,                0.44203,                 0.3454,                0.14344,                 1.7594,                  2.461,                 1.3164,             0.00065942,             0.00065942,             0.00065942
                      2,                 1.7653,                 1.9368,                 1.4447,                0.43619,                0.36957,                0.33046,                 0.1204,                 1.9098,                 2.7112,                 1.7184,               0.001313,               0.001313,               0.001313
                      3,                 1.8163,                 1.8882,                 1.4813,                0.43594,                0.34724,                0.31292,                0.11468,                 2.3239,                 2.2062,                 1.8854,              0.0019533,              0.0019533,              0.0019533
                      4,                 1.8157,                 1.7694,                 1.4872,                0.59781,                0.42754,                0.42703,                  0.181,                 2.0066,                 2.1402,                 1.6891,              0.0019406,              0.0019406,              0.0019406
                      5,                 1.8055,                 1.7752,                  1.484,                0.52883,                0.52053,                0.47154,                0.21036,                 1.7422,                 2.3988,                 1.4964,              0.0019406,              0.0019406,              0.0019406
                      6,                 1.7735,                 1.7275,                 1.4809,                0.76618,                0.42029,                0.56599,                 0.2177,                 1.8959,                 1.9075,                 1.6199,              0.0019208,              0.0019208,              0.0019208
                      7,                 1.7329,                 1.6042,                 1.4482,                0.31319,                0.25362,                0.20267,                0.08681,                 2.0838,                 3.4062,                 1.8439,               0.001901,               0.001901,               0.001901
                      8,                  1.658,                 1.5556,                 1.4003,                0.58237,                0.55797,                0.56318,                0.25348,                 1.8274,                 1.7576,                  1.504,              0.0018812,              0.0018812,              0.0018812
                      9,                 1.6267,                 1.4959,                 1.3727,                0.54119,                0.63251,                  0.599,                 0.2523,                 1.8688,                 1.5884,                 1.5602,              0.0018614,              0.0018614,              0.0018614
                     10,                 1.6213,                 1.4701,                 1.3886,                0.72398,                0.49419,                0.60441,                0.27145,                 1.8694,                 1.6492,                 1.4721,              0.0018416,              0.0018416,              0.0018416
                     11,                 1.6262,                 1.4137,                 1.3625,                0.81984,                0.52899,                0.64768,                0.31991,                 1.6265,                 1.4688,                 1.4331,              0.0018218,              0.0018218,              0.0018218
                     12,                  1.605,                 1.4367,                 1.3657,                0.63512,                 0.5676,                0.57237,                0.25428,                 1.7582,                 1.8436,                 1.4997,               0.001802,               0.001802,               0.001802
                     13,                 1.5592,                 1.4054,                  1.351,                0.65026,                0.62319,                0.59018,                0.26604,                 1.7701,                 1.5754,                 1.5195,              0.0017822,              0.0017822,              0.0017822
                     14,                 1.5906,                 1.4233,                 1.3605,                 0.5298,                0.60421,                0.60814,                0.26831,                 1.8129,                 1.6125,                 1.5521,              0.0017624,              0.0017624,              0.0017624
                     15,                 1.5635,                 1.3802,                 1.3504,                0.69475,                0.64493,                0.68608,                 0.3243,                 1.6876,                 1.4047,                 1.4574,              0.0017426,              0.0017426,              0.0017426
                     16,                 1.4915,                  1.327,                 1.3307,                0.61207,                0.66667,                0.69876,                0.32551,                  1.613,                 1.4534,                 1.3792,              0.0017228,              0.0017228,              0.0017228
                     17,                 1.5225,                 1.3065,                 1.3265,                0.67539,                0.68841,                0.67181,                0.33244,                 1.6687,                 1.3299,                 1.4026,               0.001703,               0.001703,               0.001703
                     18,                 1.5107,                 1.3112,                 1.3285,                0.67383,                0.71739,                0.70563,                0.33986,                 1.5884,                 1.2533,                  1.378,              0.0016832,              0.0016832,              0.0016832
                     19,                 1.4782,                 1.2538,                  1.305,                 0.6709,                0.61594,                0.65005,                0.30387,                 1.6996,                 1.4548,                 1.4767,              0.0016634,              0.0016634,              0.0016634
                     20,                 1.5184,                 1.2871,                 1.3236,                0.64331,                0.55072,                0.56813,                0.26587,                  1.733,                 1.6255,                 1.4749,              0.0016436,              0.0016436,              0.0016436
                     21,                 1.4739,                 1.2472,                 1.2928,                0.63693,                0.73732,                0.67514,                0.34146,                 1.6078,                 1.2926,                 1.3438,              0.0016238,              0.0016238,              0.0016238
